Date,Open,High,Low,Close,Volume,weighted price,trades
20-Jan-18,11560.82,13052.12,11515.94,12934,9582.93,12460.33,
19-Jan-18,11290.9,12050.39,11025.18,11552,13203.26,11499.77,
18-Jan-18,11199,12146,10693,11247.57,22195.26,11537.72,
17-Jan-18,11393.97,11794.07,9222,11191.35,41356.19,10474.08,
16-Jan-18,13581.66,13607.04,10162,11386.34,38789.88,11800.13,
15-Jan-18,13647.99,14394.36,13429.25,13607.04,9444.64,13875.59,
14-Jan-18,14197.78,14365.81,13072.22,13647.99,7588.64,13544.44,
13-Jan-18,13829.28,14619.1,13789.42,14197.78,7488.99,14233.65,
12-Jan-18,13249.99,14152.19,12807.27,13781.41,13433.08,13652.81,
11-Jan-18,14899.99,14973.07,12800,13243.83,19630.08,13593.74,
10-Jan-18,14403.51,14900,13412,14890.02,18479.01,14135.53,
09-Jan-18,14999.99,15367.18,14123.97,14403.51,13913.52,14703.62,
08-Jan-18,16173.98,16300,13900,14999.99,16676.35,15103.89,
07-Jan-18,17142.43,17149.97,15707.16,16124.02,8632.81,16397.33,
06-Jan-18,16927.99,17234.99,16220,17149.67,9501.02,16670.8,
05-Jan-18,15143.67,17200,14810,16928,16248.91,15982.35,
04-Jan-18,15155.62,15430.27,14192.37,15143.67,15004.02,14806.72,
03-Jan-18,14670.96,15500,14546.28,15155.62,12275,14960.44,
02-Jan-18,13394.2,15257.53,12910.58,14678.94,16299.67,14057.88,
01-Jan-18,13880,13941.75,12801.38,13443.41,7688.03,13373.48,
31-Dec-17,12640,14296.06,12491.21,13880,11583.42,13342.58,
30-Dec-17,14351,14463.28,12050,12640,21749.67,13148.96,
29-Dec-17,14436.99,15111,13998,14340,13505.7,14492.22,
28-Dec-17,15390.05,15474.19,13500,14470.07,16557.22,14158.69,
27-Dec-17,15764.45,16480.52,14484,15364.93,15643.75,15460.55,
26-Dec-17,13925.5,16147.87,13746.95,15764.44,15051.16,15342.51,
25-Dec-17,14107.87,14650,13210,13911.28,11564.54,13951.9,
24-Dec-17,14619,14619.1,12488,14157.87,18519.49,13525.02,
23-Dec-17,13980,15756.22,13496.48,14619,21786.41,14785.39,
22-Dec-17,15600,15795.61,11159.93,14009.79,57444.89,13441.46,
21-Dec-17,16466.98,17281.17,15005,15600.01,20377.86,16033.61,
20-Dec-17,17700,17950,15343.04,16466.98,31172.23,16724.84,
19-Dec-17,18940.58,19160.79,16831.26,17700,21528.14,17986.05,
18-Dec-17,18953,19220,17835.2,18940.57,14678.94,18634.42,
17-Dec-17,19187.78,19666,18465,18953,9749.25,19110.24,
16-Dec-17,17477.98,19377,17269.99,19187.78,9761.22,18430.69,
15-Dec-17,16404.99,17934,16337.19,17471.5,18998.39,17335,
14-Dec-17,16245.02,16830.45,15852.69,16404.99,13409.52,16351.3,
13-Dec-17,16650.01,17107.03,15497.69,16250,17136.71,16434.93,
12-Dec-17,16470,17428.42,15967.29,16650.01,13517.89,16854.87,
11-Dec-17,14690.99,17270,14677.19,16470,16583.72,16293.32,
10-Dec-17,14601.01,15385,13011,14691,18487.98,14233.61,
